"Sentence:इन सबके ऊपर केदारनाथ का 6 हजार 940 मीटर ऊँचा हिमशिखर ऐसा दिखाई देता है, मानो स्वर्ग में रहने वाले देवताओं का मृत्युलोक को झाँकने का यह झरोखा हो ।",Sentence ID:dev-s90,NOUN ID:29,Word:झरोखा,VERB ID:30,Word:हो,relation:xcomp
Sentence:जबकि भारत में यह रकम ५० फीसदी हो जाती है ।,Sentence ID:dev-s148,NOUN ID:7,Word:फीसदी,VERB ID:8,Word:हो,relation:xcomp
Sentence:यह भी फोन वायरस हो सकता है ।,Sentence ID:dev-s201,NOUN ID:4,Word:वायरस,VERB ID:5,Word:हो,relation:xcomp
Sentence:पार्टी के अल्पसंख्यक नेता शाहनवाज हुसैन ने कहा कि हमने लाल कृष्ण आडवाणी से इस मुददे पर बात की है और हम चाहते हैं कि वे अध्यक्ष बने रहें ।,Sentence ID:dev-s215,NOUN ID:27,Word:अध्यक्ष,VERB ID:28,Word:बने,relation:xcomp
Sentence:नटवर फिलहाल बिना विभाग के मंत्री रहेंगे ।,Sentence ID:dev-s259,NOUN ID:6,Word:मंत्री,VERB ID:7,Word:रहेंगे,relation:xcomp
Sentence:साक्षरता की वृद्धि दर १९५१ के १८.३ फीसदी से नाटकीय रूप से बढ़कर २००१ में ६४.८ फीसदी हो गई ।,Sentence ID:dev-s306,NOUN ID:17,Word:फीसदी,VERB ID:18,Word:हो,relation:xcomp
Sentence:रिजवी समिति के संयोजक बनाए गए हैं ।,Sentence ID:dev-s387,NOUN ID:4,Word:संयोजक,VERB ID:5,Word:बनाए,relation:xcomp
"Sentence:सर्वे के मुताबिक ब्रॉडबैंड सुविधा में विकास कई देशों में सबसे बड़ी समस्या बनी हुई है, वहीं दक्षिण कोरिया जैसे कुछ देशों में ब्रॉडबैंड के जरिए इंटरनेट ने घरों में पहुंच बना ली है ।",Sentence ID:dev-s494,NOUN ID:13,Word:समस्या,VERB ID:14,Word:बनी,relation:xcomp
Sentence:मुद्रास्फीति की औसत दर ५.५ फीसदी रही ।,Sentence ID:dev-s544,NOUN ID:6,Word:फीसदी,VERB ID:7,Word:रही,relation:xcomp
Sentence:सिंह पांच दशक पूर्व विश्वविद्यालय के छात्र रहे थे ।,Sentence ID:dev-s749,NOUN ID:7,Word:छात्र,VERB ID:8,Word:रहे,relation:xcomp
"Sentence:कुछ दिन पहले तक यहां बंदूकों की आवाजें गूंजा करती थीं, लेकिन अब जम्मू - कश्मीर के उरी क्षेत्र का कमान पोस्ट नियंत्रण रेखा से बंटे राज्य का एक द्वार बन गया है ।",Sentence ID:dev-s859,NOUN ID:31,Word:द्वार,VERB ID:32,Word:बन,relation:xcomp
Sentence:भावविह्वल जमान ने कहा कि राज्य के बंटवारे से पहले उरी मुजफ्फराबाद की तहसील हुआ करता था ।,Sentence ID:dev-s865,NOUN ID:14,Word:तहसील,VERB ID:15,Word:हुआ,relation:xcomp
Sentence:विनिवेश से मिलने वाले धन के इस्तेमाल के बारे में वित्त मंत्री ने कहा कि विनिवेश से मिलने वाला राजस्व भारत सरकार के कोष का हिस्सा होगा ।,Sentence ID:dev-s1016,NOUN ID:26,Word:हिस्सा,VERB ID:27,Word:होगा,relation:xcomp
Sentence:डॉ. बोर्लेग का मानना है कि एग्रो फोरेस्टरी रोजगार का बड़ा माध्यम बन रहा है ।,Sentence ID:dev-s1048,NOUN ID:12,Word:माध्यम,VERB ID:13,Word:बन,relation:xcomp
Sentence:यह जंगल अब माओवादियों का एक महत्वपूर्ण गढ़ बन गया है ।,Sentence ID:dev-s1128,NOUN ID:8,Word:गढ़,VERB ID:9,Word:बन,relation:xcomp
"Sentence:लोकसभा अध्यक्ष सोमनाथ चटर्जी ने जैसे ही अटवाल के उपाध्यक्ष चुने जाने की घोषणा की, पूरे सदन में मेजें थपथपाकर स्वागत किया गया ।",Sentence ID:dev-s1329,NOUN ID:10,Word:उपाध्यक्ष,VERB ID:11,Word:चुने,relation:xcomp
Sentence:इसके पहले लोकसभा में प्रधानमंत्री मनमोहन सिंह ने कहा कि अटवाल विशिष्ट सांसद रहे हैं और उनके नेतृत्व और मार्गदर्शन में सदन की कार्यवाही सुचारु ढंग से चलेगी ।,Sentence ID:dev-s1336,NOUN ID:13,Word:सांसद,VERB ID:14,Word:रहे,relation:xcomp
Sentence:पर मामला और गंभीर तब हुआ जब आडवाणी ने जिन्ना को सेक्यूलर नेता बताया ।,Sentence ID:dev-s1542,NOUN ID:13,Word:नेता,VERB ID:14,Word:बताया,relation:xcomp
Sentence:विहिप नेताओं ने यह भी कहा कि अगर आडवाणी लौहपुरुष होते तो अपना इस्तीफा कभी वापस नहीं लेते ।,Sentence ID:dev-s1553,NOUN ID:10,Word:लौहपुरुष,VERB ID:11,Word:होते,relation:xcomp
